,Name,Primary Role,Manufacturer,Country
0,143,Medium Bomber,Avions Amiot ,France 
1,2MB1,Light Bomber,Mitsubishi Heavy Industries ,Japan 
2,2MR8,Reconnaissance Aircraft,Mitsubishi Heavy Industries ,Japan 
3,351/354,Medium Bomber,Avions Amiot ,France 
4,A-17,Ground Attack Aircraft,Northrop Corporation ,United States 
5,A-20 Havoc,Medium Bomber,Douglas Aircraft Company ,United States 
6,A-26 Invader,Medium Bomber,Douglas Aircraft Company ,United States 
7,A-29 Hudson,Medium Bomber,Lockheed Corporation ,United States 
8,A-31 Vengeance,Dive Bomber,Vultee Aircraft Corporation ,United States 
9,A-36A Mustang,Ground Attack Aircraft,North American Aviation ,United States 
10,A.W.38 Whitley,Medium Bomber,Armstrong Whitworth Aircraft ,United Kingdom 
11,A.W.41 Albemarle,Transport,Armstrong Whitworth Aircraft ,United Kingdom 
12,A2N,Fighter,Nakajima Aircraft Company ,Japan 
13,A5M,Fighter,Mitsubishi Heavy Industries ,Japan 
14,A6M Zero,Fighter,Mitsubishi Heavy Industries ,Japan 
15,A7M Reppu,Fighter,Mitsubishi Heavy Industries ,Japan 
16,Albacore,Torpedo Bomber,Fairey Aviation ,United Kingdom 
17,Anson,Other,Avro ,United Kingdom 
18,Ar 195,Torpedo Bomber,Arado Flugzeugwerke ,Germany 
19,Ar 196,Seaplane,Arado Flugzeugwerke ,Germany 
20,Ar 232,Transport,Arado Flugzeugwerke ,Germany 
21,Ar 234 Blitz,Medium Bomber,Arado Flugzeugwerke ,Germany 
22,Ar 68,Fighter,Arado Flugzeugwerke ,Germany 
23,Ar 95,Seaplane,Arado Flugzeugwerke ,Germany 
24,AS.10 Oxford,Other,Airspeed Limited ,United Kingdom 
25,AT-6 Texan,Other,North American Aviation ,United States 
26,B-10,Medium Bomber,Glenn L. Martin Company ,United States 
27,B-17 Flying Fortress,Heavy Bomber,The Boeing Company ,United States 
28,B-18 Bolo,Medium Bomber,Douglas Aircraft Company ,United States 
29,B-23 Dragon,Medium Bomber,Douglas Aircraft Company ,United States 
30,B-24 Liberator,Heavy Bomber,Consolidated Aircraft ,United States 
31,B-25 Mitchell,Medium Bomber,North American Aviation ,United States 
32,B-26 Marauder,Medium Bomber,Glenn L. Martin Company ,United States 
33,B-29 Superfortress,Heavy Bomber,The Boeing Company ,United States 
34,B-32 Dominator,Heavy Bomber,Consolidated Aircraft ,United States 
35,B-534,Biplane Fighter,Avia ,Czechoslovakia 
36,B1M,Torpedo Bomber,Mitsubishi Heavy Industries ,Japan 
37,B2M,Torpedo Bomber,Mitsubishi Heavy Industries ,Japan 
38,B4Y,Torpedo Bomber,Yokosuka Naval Air Technical Arsenal ,Japan 
39,B5M,Torpedo Bomber,Mitsubishi Heavy Industries ,Japan 
40,B5N,Torpedo Bomber,Nakajima Aircraft Company ,Japan 
41,B6N Tenzan,Torpedo Bomber,Nakajima Aircraft Company ,Japan 
42,B7A Ryusei,Dive Bomber,Aichi Kokuki KK ,Japan 
43,Ba 349 Natter,Prototype Aircraft,Bachem ,Germany 
44,Ba.65 Nibbio,Fighter,Societ� Italiana Ernesto Breda ,Italy 
45,Barracuda,Dive Bomber,Fairey Aviation ,United Kingdom 
46,Battle,Light Bomber,Fairey Aviation ,United Kingdom 
47,Be-4,Seaplane,Beriev OKB ,Russia 
48,Beaufighter,Heavy Fighter,Bristol Aeroplane Company ,United Kingdom 
49,Beaufort,Torpedo Bomber,Bristol Aeroplane Company ,United Kingdom 
50,Bf 108 Taifun,Other,Bayerische Flugzeugwerke AG ,Germany 
51,Bf 109,Fighter,Messerschmitt AG ,Germany 
52,Bf 110,Heavy Fighter,Messerschmitt AG ,Germany 
53,BF2C Goshawk,Biplane Fighter,Curtiss-Wright Corporation ,United States 
54,BI,Prototype Aircraft,"OKB-293, Khimki/Bilimbay, Russia ",Russia 
55,Blenheim,Medium Bomber,Bristol Aeroplane Company ,United Kingdom 
