,Event,Date
0,Treaty of Rapallo,16 Apr 1922
1,Treaty of Berlin,24 Apr 1926
2,Jinan Incident,3 May 1928
3,Second London Naval Conference,21 Jan 1930 - 22 Apr 1930
4,Xinjiang Wars,20 Feb 1931 - 30 Oct 1937
5,Mukden Incident,18 Sep 1931 - 19 Sep 1931
6,Battle of Qiqihar,4 Nov 1931 - 18 Nov 1931
7,Battle of Jinzhou,21 Dec 1931 - 3 Jan 1932
8,Battle of Harbin and Establishment of Manchukuo,25 Jan 1932 - 4 Feb 1932
9,First Battle of Shanghai,28 Jan 1932 - 8 Mar 1932
10,First Battle of Hebei,1 Jan 1933 - 22 May 1933
11,The Reichstag Fire,27 Feb 1933
12,Balkan Pact,9 Feb 1934
13,Japan's Refusal of Washington Treaty,19 Dec 1934
14,Anglo-German Naval Agreement,18 Jun 1935
15,Invasion of Abyssinia,3 Oct 1935 - 5 May 1936
16,Third London Naval Conference,9 Dec 1935 - 25 Mar 1936
17,Hoare-Laval Pact,10 Dec 1935
18,Re-militarization of Rhineland,7 Mar 1936
19,Tauran Incident,11 Mar 1936
20,The Spanish Civil War,17 Jul 1936 - 4 Apr 1939
21,Battle of Suiyuan,20 Oct 1936 - 17 Nov 1936
22,Anti-Comintern Pact,25 Nov 1936
23,Xi'an Incident,12 Dec 1936 - 24 Dec 1936
24,Lugou Bridge Incident and Second Battle of Hebei,7 Jul 1937 - 8 Aug 1937
25,Battle of Chahar,1 Aug 1937 - 12 Aug 1937
26,Beiping-Hankou Railway and Tianjin-Pukou Railway Operations,1 Aug 1937 - 31 Dec 1937
27,Second Battle of Shanghai,13 Aug 1937 - 9 Nov 1937
28,"Bombing of Shanghai, Chongqing, and other Cities",15 Aug 1937 - 23 Aug 1943
29,Battle of Shanxi,1 Sep 1937 - 11 Nov 1937
30,Hossbach Conference,5 Nov 1937
31,Battle of Nanjing and the Rape of Nanjing,9 Dec 1937 - 31 Jan 1938
32,Burma Road and the Hump,1 Jan 1938 - 10 Nov 1945
33,Henan Campaign,7 Feb 1938 - 10 Jun 1938
34,Annexation of Austria,12 Mar 1938 - 10 Apr 1938
35,Meeting at Brenner Pass,18 Mar 1938
36,Battle of Xuzhou,24 Mar 1938 - 1 May 1938
37,Battle of Xiamen,10 May 1938 - 12 May 1938
38,Battle of Wuhan,11 Jun 1938 - 27 Oct 1938
39,Battle of Lake Khasan,29 Jul 1938 - 11 Aug 1938
40,Munich Conference and the Annexation of Sudetenland,29 Sep 1938 - 10 Oct 1938
41,Guangdong Operation,12 Oct 1938 - 31 Dec 1938
42,The Danzig Crisis,24 Oct 1938 - 29 Aug 1939
43,First Vienna Arbitration,2 Nov 1938
44,Kristallnacht,9 Nov 1938 - 11 Nov 1938
45,Battle of Hainan,9 Feb 1939 - 12 Feb 1939
46,Dismemberment of Czechoslovakia,14 Mar 1939 - 17 Mar 1939
47,Battle of Nanchang,17 Mar 1939 - 9 May 1939
48,Annexation of Klaipeda,22 Mar 1939
49,The Slovak-Hungarian War,23 Mar 1939 - 31 Mar 1939
50,Invasion of Albania,7 Apr 1939 - 12 Apr 1939
51,Battle of Suixian-Zaoyang,20 Apr 1939 - 24 May 1939
52,Battle of Khalkhin Gol,11 May 1939 - 31 Aug 1939
53,The Pact of Steel,22 May 1939
