,Name,Type,Location,Country
0,AG Vulcan Stettin ,Shipyard ,"Stettin, Pommern ",Germany 
1,Alamogordo Army Air Field ,Airfield ,"Alamogordo, New Mexico ",United States 
2,Ankang Airfield ,Airfield ,"Ankang, Shaanxi ",China 
3,Arlington Hall ,Government Building ,"Arlington, Virginia ",United States 
4,Arsenal de Brest ,"Shipyard, Naval Port ","Brest, Bretagne ",France 
5,Atlas Werke AG ,Shipyard ,"Bremen, Weser-Ems ",Germany 
6,Atsugi Airfield ,Airfield ,"Ayase, Kanagawa ",Japan 
7,Auschwitz Concentration Camp ,Prison Camp ,Oswiecim ,Poland 
8,Baishiyi Airfield ,Airfield ,Chongqing ,China 
9,Barbers Point Naval Air Station ,Airfield ,"Kapolei, Oahu ",Hawaii 
10,Bellows Army Air Field ,Airfield ,"Waimanalo, Oahu ",Hawaii 
11,Belzec Concentration Camp ,Prison Camp ,"Belzec, Lublin ",Poland 
12,Bergen-Belsen Concentration Camp ,Prison Camp ,"Bergen, Ost-Hannover ",Germany 
13,Berlin Zoo Flak Tower ,Fortification ,Berlin ,Germany 
14,Bethlehem Fore River Shipyard ,Shipyard ,"Quincy, Massachusetts ",United States 
15,Bethlehem San Francisco Shipyard ,Shipyard ,"San Francisco, California ",United States 
16,Bethlehem San Pedro Shipyard ,Shipyard ,"San Pedro, California ",United States 
17,Bletchley Park ,Other ,"Milton Keynes, England ",United Kingdom 
18,Blohm und Voss ,Shipyard ,Hamburg ,Germany 
19,Bluie East Five ,Other ,North Greenland ,Greenland 
20,Bluie East Four ,Other ,"Ella, North Greenland ",Greenland 
21,Bluie East One ,Other ,South Greenland ,Greenland 
22,Bluie East Three ,Other ,North Greenland ,Greenland 
23,Bluie East Two ,Airfield ,"Ikateq, South Greenland ",Greenland 
24,Bluie West Eight ,Airfield ,South Greenland ,Greenland 
25,Bluie West Five ,Other ,"Egedesminde, South Greenland ",Greenland 
26,Bluie West Four ,Airfield ,South Greenland ,Greenland 
27,Bluie West One ,Airfield ,"Narsarsuaq, South Greenland ",Greenland 
28,Bluie West Seven ,Army Base ,"Ivigtut, South Greenland ",Greenland 
29,Bluie West Six ,Other ,"Thule, North Greenland ",Greenland 
30,Bluie West Three ,Other ,"Simiutak, South Greenland ",Greenland 
31,Borinquen Field ,Airfield ,Aguadilla ,Puerto Rico 
32,Boston Navy Yard ,Shipyard ,"Boston, Massachusetts ",United States 
33,Bremer Vulkan AG ,Shipyard ,"Bremen, Weser-Ems ",Germany 
34,Buchenwald Concentration Camp ,Prison Camp ,"Weimar, Weimar ",Germany 
35,Burbank Lockheed Aircraft Factory ,Factory ,"Burbank, California ",United States 
36,Busan Base ,Army Base ,"Busan, Gyeongsangnam ",Korea 
37,Camp Aliceville ,Prison Camp ,"Aliceville, Alabama ",United States 
38,Camp Atterbury ,"Army Base, Prison Camp ","Edinburgh, Indiana ",United States 
39,Camp Carson ,"Army Base, Prison Camp ","El Paso, Colorado ",United States 
40,Camp Concordia ,Prison Camp ,"Concordia, Kansas ",United States 
41,Camp Papago Park ,Prison Camp ,"Phoenix, Arizona ",United States 
42,Camp Tonkawa ,Prison Camp ,"Tonkawa, Oklahoma ",United States 
43,Cantieri Tosi ,Shipyard ,"Taranto, Apulia ",Italy 
44,Changi Prison and Selarang Barracks ,Prison Camp ,"Changi, Singapore ",Singapore 
45,Chelmno Concentration Camp ,Prison Camp ,"Chelmno nad Nerem, Konin ",Poland 
46,Chelyabinsk Tractor Plant ,Factory ,"Chelyabinsk, Chelyabinsk ",Russia 
47,Chengdu Airfield ,Airfield ,"Chengdu, Sichuan ",China 
48,Chenggong Airfield ,Airfield ,"Kunming, Yunnan ",China 
49,Chinkai Guard District ,Naval Port ,"Chinkai, Gyeongsangnam ",Korea 
50,Chuxiong Airfield ,Airfield ,"Chuxiong, Yunnan ",China 
51,Clark Field ,Airfield ,"Angeles, Pampanga ",Philippines 
52,Clinton Engineer Works ,Other ,"Oak Ridge, Tennessee ",United States 
53,Colditz Castle ,Prison Camp ,"Colditz, Sachsen ",Germany 
54,Dachau Concentration Camp ,Prison Camp ,"Dachau, MÃ¼nchen-Oberbayern ",Germany 
55,Daegu Base ,"Airfield, Army Base ","Daegu, Gyeongsangbuk ",Korea 
56,Danesfield House ,Other ,"Medmenham, England ",United Kingdom 
57,Danziger Werft AG ,Shipyard , ,Danzig 
58,Davao Penal Colony ,Prison Camp ,"Davao, Davao ",Philippines 
59,Debach Airfield ,Airfield ,"Woodbridge, England ",United Kingdom 
60,Detroit Arsenal Tank Plant ,Factory ,"Warren, Michigan ",United States 
61,Deutsche Schiff- und Maschinenbau AG ,Shipyard ,"Bremen, Weser-Ems ",Germany 
62,Deutsche Werft Hamburg ,Shipyard ,Hamburg ,Germany 
63,Deutsche Werke Gotenhafen ,Shipyard ,"Gdynia, Pomorskie ",Poland 
64,Deutsche Werke Kiel ,Shipyard ,"Kiel, Schleswig-Holstein ",Germany 
65,Dobodura Airfield ,Airfield ,Dobodura ,Australian Papua 
66,Drancy Concentration Camp ,Prison Camp ,Paris ,France 
67,Dugway Proving Ground ,Other ,"Dugway, Utah ",United States 
68,Earle Naval Ammunition Depot ,Naval Port ,"Colts Neck, New Jersey ",United States 
69,Electric Boat Company ,Shipyard ,"Groton, Connecticut ",United States 
70,Elsflether Werft AG ,Shipyard ,"Bremen, Weser-Ems ",Germany 
71,Ewa Marine Corps Air Station ,Airfield ,"Kapolei, Oahu ",Hawaii 
72,F. Schichau Danzig ,Shipyard , ,Danzig 
73,F. Schichau Elbing ,Shipyard ,"Elbing, Danzig-WestpreuÃen ",Germany 
