,Name,Primary Role,Country,Launch Year
0,37L,Other,Lorraine ,France 
1,4TP,Tankette,Panstwowe Zaklady Inzynieryjne ,Poland 
2,6-Ton,Light Tank,"Vickers-Armstrongs, Limited ",United Kingdom 
3,7TP,Light Tank, ,Poland 
4,AB 41,Armored Car,Ansaldo-Fossati ,Italy 
5,AEC,Armored Car,Associated Equipment Company ,United Kingdom 
6,AMC 35,Cruiser Tank,Renault S.A. ,France 
7,AMC 35 S,Cruiser Tank,SOMUA ,France 
8,AMR 33,Light Tank,Renault S.A. ,France 
9,AMR 35,Light Tank,Renault S.A. ,France 
10,AS 42,Armored Car,Fiat ,Italy 
11,BA-10,Armored Car,Izhoresk Motor Factory ,Russia 
12,BA-20,Armored Car,Gorkovsky Avtomobilny Zavod ,Russia 
13,BA-64,Armored Car,Gorkovsky Avtomobilny Zavod ,Russia 
14,BM-13/8/31 Katyusha,Self-Propelled Rocket Artillery,"Voronezh Komintern Factory, Russia ",Russia 
15,Bystrokhodny,Cruiser Tank,"Kharkov Komintern Locomotive Factory, Ukraine ",Russia 
16,C15TA,Armored Car,General Motors Canada ,Canada 
17,C7P,Artillery Tractor,Panstwowe Zaklady Inzynieryjne ,Poland 
18,Canon de 194 modÃ¨le GPF,Self-Propelled Gun,Schneider-Creusot ,France 
19,Carden Loyd,Tankette,"Vickers-Armstrongs, Limited ",United Kingdom 
20,CCKW,Transport,General Motors Corporation ,United States 
21,Char B1,Heavy Tank, ,France 
22,Char D1,Light Tank, ,France 
23,CMP,Transport, ,Canada 
24,Commercial C8 FAT,Artillery Tractor,Morris-Commercial Cars Limited ,United Kingdom 
25,Coventry,Armored Car,Humber ,United Kingdom 
26,Crossley,Armored Car,"Vickers-Armstrongs, Limited ",United Kingdom 
27,Cruiser Comet I,Cruiser Tank,Leyland Motors Limited ,United Kingdom 
28,Cruiser Mk I,Cruiser Tank,"Vickers-Armstrongs, Limited ",United Kingdom 
29,Cruiser Mk I Sentinel,Cruiser Tank,New South Wales Railways ,Australia 
30,Cruiser Mk II,Cruiser Tank,"Vickers-Armstrongs, Limited ",United Kingdom 
31,Cruiser Mk III,Cruiser Tank,Nuffield Mechanisation and Aero ,United Kingdom 
32,Cruiser Mk IV,Cruiser Tank, ,United Kingdom 
33,Cruiser Mk V Covenanter,Cruiser Tank, ,United Kingdom 
34,Cruiser Mk VI Crusader,Cruiser Tank,Nuffield Mechanisation and Aero ,United Kingdom 
35,Cruiser Mk VII Cavalier,Cruiser Tank,Nuffield Mechanisation and Aero ,United Kingdom 
36,Cruiser Mk VIII Centaur/Cromwell,Cruiser Tank,Nuffield Mechanisation and Aero ,United Kingdom 
37,Daimler Armored Car,Armored Car,"Daimler Motor Company, England, United Kingdom ",United Kingdom 
38,Daimler Scout Car 'Dingo',Armored Car,"Daimler Motor Company, England, United Kingdom ",United Kingdom 
39,DUKW,Transport,General Motors Corporation ,United States 
40,FT-17,Light Tank,Renault S.A. ,France 
41,G31,Transport,BÃ¼ssing-NAG ,Germany 
42,H35,Light Tank,Hotchkiss et Cie ,France 
43,Hobart's Funnies,Other, ,United Kingdom 
44,Hornisse/Nashorn,Tank Destroyer,Deutsche-Eisenwerke AG ,Germany 
45,Howitzer Motor Carriage M8 'Scott',Self-Propelled Gun, ,United States 
46,Humber Armored Car,Armored Car,Rootes Group ,United Kingdom 
47,Humber Light Reconnaissance Car,Armored Car,Humber ,United Kingdom 
48,Indian Pattern Carrier,Armored Car, ,India 
49,Infantry Mk II Matilda,Infantry Tank,"Vulcan Foundry, Newton-le-Willows, England, UK ",United Kingdom 
50,Infantry Mk III Valentine,Infantry Tank,"Vickers-Armstrongs, Limited ",United Kingdom 
51,Infantry Mk IV Churchill,Infantry Tank,"Vauxhall Motors Ltd., Luton, Bedfordshire, England ",United Kingdom 
52,Iosif Stalin,Heavy Tank,"Kirov Factory, UZTM, Yekaterinburg, Russia ",Russia 
53,Jagdpanther,Tank Destroyer, ,Germany 
54,Jagdpanzer 38(t),Tank Destroyer,CeskomoravskÃ¡ Kolben-Danek ,Czechoslovakia 
55,Jeep,Other,Willys-Overland Motors/Ford Motor Company ,United States 
56,K800,Motorcycle,ZÃ¼nder und Apparatebau GmbH ,Germany 
57,Kangaroo,Other, ,Canada 
58,Karl-GerÃ¤t,Self-Propelled Gun,Rheinmetall AG ,Germany 
59,Kfz. 305 Blitz,Transport,Adam Opel AG ,Germany 
60,Kliment Voroshilov,Heavy Tank,"Kirov Plant Kirov Factory, Leningrad, Russia ",Russia 
61,KS600,Motorcycle,ZÃ¼nder und Apparatebau GmbH ,Germany 
62,KS750,Motorcycle,ZÃ¼nder und Apparatebau GmbH ,Germany 
63,KÃ¼belwagen,Other,Volkswagen ,Germany 
64,L3,Tankette, ,Italy 
65,L6/40,Light Tank,"Fiat Ansaldo, Turin, Italy ",Italy 
66,Landing Vehicle Tracked,Other, ,United States 
67,Leichter PanzerspÃ¤hwagen,Armored Car,"Eisenwerk WeserhÃ¼tte, Bad Oeynhausen, Germany ",Germany 
68,Light Amphibious Tank,Tankette,"Vickers-Armstrongs, Limited ",United Kingdom 
