Commander,Count
Heinz-Otto Schultze,4
Wolfgang Lüth,4
Klaus Ewerth,3
Herbert Werner,3
Heinrich Schonder,3
Adalbert Schnee,3
Heinz Franke,3
Hans-Joachim Förster,3
Peter-Erich Cremer,3
Eitel-Friedrich Kentrat,2
Robert Gysae,2
Hans-Werner Kraus,2
Georg Staats,2
Jürgen Oesten,2
Waldemar Mehl,2
Ernst Bauer,2
Siegfried von Forstner,2
Klaus Bargsten,2
Hans-Jürgen Hellriegel,2
Gerhard Thäter,2
Heinz Sieder,2
Herbert Wohlfarth,2
Engelbert Endrass,2
Otto von Bülow,2
Horst Höltring,2
Albrecht Brandi,2
Hermann Stuckmann,2
Carl Emmermann,2
Heinrich Timm,2
Helmut Möhlmann,2
Robert Bartels,2
Karl-Heinz Marbach,2
Heinrich Schroeteler,2
Otto Kretschmer,2
Heinrich Lehmann-Willenbrock,2
Erich Topp,2
Gerhard Schaar,2
Fritz-Julius Lemp,2
Georg-Werner Fraatz,1
Gustav Poel,1
"Wilhelm Dommes,Dietrich Schöneboom",1
Wolfgang Heyda,1
Ernst Hechler,1
Siegfried Strelow,1
Günther Seibicke,1
Egon-Reiner von Schlippenbach,1
Max-Martin Teichert,1
Jürgen von Rosenstiel,1
Horst-Arno Fenski,1
Günther Pulst,1
Otto Westphalen,1
Fritz Poske,1
Hans-Georg Hess,1
Hans Lehmann,1
"Waldemar Mehl,Horst-Arno Fenski",1
Rolf Thomsen,1
Hans-Diedrich von Tiesenhausen,1
Kurt Dobratz,1
Horst von Schroeter,1
Reinhart Reche,1
Hans Witt,1
Hans-Hartwig Trojer,1
Rolf Mützelburg,1
Günter Kuhnke,1
Erich Würdemann,1
Peter Zschech,1
Hans Heidtmann,1
Hans-Günther Lange,1
Siegfried Koitschka,1
Ernst Mengersen,1
Hans-Heinrich Döhler,1
Paul Brasack,1
Gunter Jahn,1
"Gerhard Bigalk,Hans-Heinrich Döhler",1
Karl-Ernst Schroeter,1
Gerd Kelbling,1
Günther Heydemann,1
Wilhelm Franken,1
Reinhard Suhren,1
Horst Hamm,1
Werner Hartmann,1
"Albrecht Brandi,Günther Heydemann",1
Gerhard Bigalk,1
"Gerd Kelbling,Herbert Werner",1
"Friedrich Guggenberger,Wilhelm Rollmann,Jost Metzler,Herbert Kuppisch",1
Karl Thurmann,1
"Erich Topp,Siegfried Koitschka",1
Herbert Schneider,1
Wilhelm Rollmann,1
Heinz-Wilhelm Eck,1
Herbert Kuppisch,1
Werner Henke,1
Friedrich Guggenberger,1
"Karl Neitzel,Alfred Eick",1
Harro Schacht,1
Günther Krech,1
Werner Hartenstein,1
Siegfried Lüdden,1
August Maus,1
"Wilhelm Rollmann,Horst-Arno Fenski",1
"Klaus Ewerth,Hans Rudolf Rösing,Otto Kretschmer,Werner Lott",1
"Werner Hartmann,Victor Oehrn,Asmus Nicolai Clausen,Ulrich Folkers,Albert Lauzemis",1
Heinrich Liebe,1
Günther Prien,1
"Herbert Schultze,Hans-Rudolf Rösing,Heinrich Bleichrodt",1
"Wilhelm Zahn,Walter Käding",1
"Erich Topp,Claus Korth",1
"Herbert Kuppisch,Heinrich Schonder,Dietrich Schöneboom,Horst Hamm",1
"Adalbert Schnee,Georg Schewe",1
Georg-Wilhelm Schulz,1
Hans-Gerrit von Stockhausen,1
"Robert-Richard Zapp,Friedrich Markworth",1
"Heinrich Bleichrodt,Günther Müller-Stöckheim",1
"Karl-Friedrich Merten,Albert Lauzemis",1
"Werner Lott,Hans Jenisch",1
"Otto Schuhart,Georg Lassen,Karl-Heinz Marbach",1
"Fritz-Julius Lemp,Günter Kuhnke,Friedrich Guggenberger,Karl-Heinz Marbach",1
"Victor Oehrn,Herbert Wohlfarth,Gerhard Bigalk,Hans Heidtmann",1
"Joachim Schepke,Otto von Bülow,Hans-Hartwig Trojer",1
"Karl Schrott,Siegfried Koitschka",1
"Otto Schuhart,Heinrich Lehmann-Willenbrock,Eitel-Friedrich Kentrat",1
"Herbert Sohler,Georg-Wilhelm Schulz,Rolf Mützelburg,Hans-Rudolf Rösing",1
"Hans-Rudolf Rösing,Viktor Schütze",1
"Hans-Gerrit von Stockhausen,Wolfgang Lüth",1
"Ernst Mengersen,Karl Fleige",1
Hans-Georg von Friedeburg,1
"Viktor Schütze,Joachim Schepke",1
Karl-Heinz Moehle,1
"Fritz Frauenheim,Hans-Heinrich Döhler",1
Werner Winter,1
"Eberhard Godt,Viktor Schütze,Otto Schuhart",1
"Klaus Ewerth,Werner Hartmann",1
"Jost Metzler,Wilhelm Zahn",1
Helmut Rosenbaum,1
"Friedrich Guggenberger,Johann-Otto Krieg",1
"Hans Heidtmann,Heinrich Liebe,Helmut Rosenbaum,Herbert Schultze",1
"Robert Bartels,Albert Lauzemis",1
"Asmus Nicolai Clausen,Johann-Otto Krieg",1
"Ernst Mengersen,Helmut Möhlmann,Harald Gelhaus,Jürgen von Rosenstiel",1
Otto Ites,1
Reinhard Hardegen,1
"Adolf Piening,Ludwig von Friedeburg",1
Erwin Rostin,1
"Asmus Nicolai Clausen,Hans Witt",1
Helmut Witte,1
Georg Lassen,1
"Hans Witt,Albrecht Achilles",1
Jürgen Wattenberg,1
Wilhelm Dommes,1
Asmus Nicolai Clausen,1
Ernst Kals,1
Ulrich Heyse,1
Claus Korth,1
"Jürgen Oesten,Hermann Rasch",1
"Otto Ites,Herbert Kuppisch",1
"Heinrich Lehmann-Willenbrock,Hans-Jürgen Hellriegel,Heinrich Schroeteler",1
Joachim Schepke,1
"Fritz Frauenheim,Ernst Mengersen,Karl-Heinz Marbach,Egon-Reiner von Schlippenbach",1
"Viktor Schütze,Werner Winter",1
Georg Schewe,1
"Günter Hessler,Harald Gelhaus",1
"Günther Kuhnke,Ulrich Folkers",1
Klaus Scholtz,1
Heinrich Bleichrodt,1
Wilhelm Kleinschmidt,1
"Karl-Ernst Schroeter,Adalbert Schnee,Egon-Reiner von Schlippenbach,Otto Westphalen",1
"Karl-Heinz Moehle,Reinhard Hardegen,Horst von Schroeter,Walter Käding,Herbert Schneider",1
"Georg-Wilhelm Schulz,Johann Mohr,Werner Henke",1
Ludwig von Friedeburg,1
