Name,Year,Type,Notable Commanders,Warships_sunk_n_total_loss_No,Warships_sunk_n_total_loss_Tons-n-GRT,Warships_Damaged_No,Warships_Damaged_Tons-n-GRT,Merchant_Ships_sunk_No,Merchant_Ships_sunk_GRT,Merchant_Ships_damaged_No,Merchant_Ships_damaged_GRT,Merchant_Ships_total_loss_No,Merchant_Ships_total_loss_GRT,Fate_Event,Fate_Date,Notes,URL,Commissioned,Patrols,Wolfpacks,Flotilla
U-1,1935,IIA,Klaus Ewerth,0,0,0,0,0,0,0,0,0,0,Sunk,6 April 1940,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-1_(1935),1935-06-29,2,,"{'U-boat School Flotilla': ['1 July 1935 ', ' 1 February 1940']}"
U-2,1935,IIA,"Hans Heidtmann,Heinrich Liebe,Helmut Rosenbaum,Herbert Schultze",0,0,0,0,0,0,0,0,0,0,Sunk,8 April 1944,Training boat,https://en.wikipedia.org/wiki/German_submarine_U-2_(1935),1935-07-25,2,,"{'U-boat School Flotilla': ['1 July 1935 ', ' 1 August 1939'], '21st U-boat Flotilla': ['1 July 1940 ', ' 8 April 1944']}"
U-3,1935,IIA,"Joachim Schepke,Otto von Bülow,Hans-Hartwig Trojer",0,0,0,0,2,"2,348",0,0,0,0,Stricken,1 August 1944,,https://en.wikipedia.org/wiki/German_submarine_U-3_(1935),1935-09-06,5,,"{'U-boat School Flotilla': ['1 August 1935 ', ' 1 February 1940'], '21st U-boat Flotilla': ['1 July 1940 ', ' 1 August 1944']}"
U-4,1935,IIA,Heinz-Otto Schultze,1,"1,090",0,0,3,"5,133",0,0,0,0,Stricken,1 August 1944,,https://en.wikipedia.org/wiki/German_submarine_U-4_(1935),1935-08-17,4,,"{'U-boat School Flotilla': ['1 August 1935 ', ' 1 February 1940'], '21st U-boat Flotilla': ['1 July 1940 ', ' 31 July 1944']}"
U-5,1935,IIA,Heinrich Lehmann-Willenbrock,0,0,0,0,0,0,0,0,0,0,Sunk,19 March 1943,Accident,https://en.wikipedia.org/wiki/German_submarine_U-5_(1935),1935-08-31,2,,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 September 1939'], '21st U-boat Flotilla': ['1 July 1940 ', ' 19 March 1943']}"
U-6,1935,IIA,Adalbert Schnee,0,0,0,0,0,0,0,0,0,0,Stricken,7 August 1944,Training boat mostly,https://en.wikipedia.org/wiki/German_submarine_U-6_(1935),1935-09-07,2,,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 September 1939'], '21st U-boat Flotilla': ['1 July 1940 - 7 August 1944']}"
U-7,1935,IIB,"Karl Schrott,Siegfried Koitschka",0,0,0,0,1,"2,694",0,0,1,"1,830",Sunk,18 February 1944,Accident,https://en.wikipedia.org/wiki/German_submarine_U-7_(1935),1935-07-18,6,,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 February 1940'], '21st U-boat Flotilla': ['1 July 1940 ', ' 18 February 1944']}"
U-8,1935,IIB,"Otto Schuhart,Heinrich Lehmann-Willenbrock,Eitel-Friedrich Kentrat",0,0,0,0,0,0,0,0,0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-8_(1935),1935-08-05,1,,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 August 1939'], '1st U-boat Flotilla': ['13 April ', ' 30 June 1940'], '24th U-boat Flotilla': ['1 July ', ' 17 December 1940'], '22nd U-boat Flotilla': ['18 December 1940 ', ' 31 March 1945']}"
U-9,1935,IIB,Wolfgang Lüth,1,552,1,412,7,"16,669",0,0,0,0,Sunk,20 August 1944,Soviet aircraft. Later raised & entered as Soviet Navy TS-16,https://en.wikipedia.org/wiki/German_submarine_U-9_(1935),1935-08-21,19,,"{'1st U-boat Flotilla': ['1 September 1935 ', ' 1 August 1939'], '24th U-boat Flotilla': ['1 July ', ' 31 October 1940'], '21st U-boat Flotilla': ['1 November 1940 ', ' 18 April 1942'], '30th U-boat Flotilla': ['28 October 1942 ', ' 20 August 1944']}"
U-10,1935,IIB,"Herbert Sohler,Georg-Wilhelm Schulz,Rolf Mützelburg,Hans-Rudolf Rösing",0,0,0,0,2,"6,356",0,0,0,0,Stricken,1 August 1944,,https://en.wikipedia.org/wiki/German_submarine_U-10_(1935),1935-09-09,5,,"{'U-boat School Flotilla': ['15 April 1939 ', ' 30 June 1940'], '1st U-boat Flotilla': ['27 September 1935 ', ' 3 October 1937'], '3rd U-boat Flotilla': ['4 October 1937 ', ' 14 April 1939'], '21st U-boat Flotilla': ['1 July 1940 ', ' 1 August 1944']}"
