Name,Year,Type,Notable Commanders,Warships_sunk_n_total_loss_No,Warships_sunk_n_total_loss_Tons-n-GRT,Warships_Damaged_No,Warships_Damaged_Tons-n-GRT,Merchant_Ships_sunk_No,Merchant_Ships_sunk_GRT,Merchant_Ships_damaged_No,Merchant_Ships_damaged_GRT,Merchant_Ships_total_loss_No,Merchant_Ships_total_loss_GRT,Fate_Event,Fate_Date,Notes,URL,Commissioned,Patrols,Wolfpacks,Flotilla,Lifespan,event,notable
U-1,1935,IIA,Klaus Ewerth,0,0,0,0,0,0,0,0,0,0,Sunk,1940-04-06,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-1_(1935),1935-06-29,2,NA,"{'U-boat School Flotilla': ['1 July 1935 ', ' 1 February 1940']}",1743,1,1
U-2,1935,IIA,"Hans Heidtmann,Heinrich Liebe,Helmut Rosenbaum,Herbert Schultze",0,0,0,0,0,0,0,0,0,0,Sunk,1944-04-08,Training boat,https://en.wikipedia.org/wiki/German_submarine_U-2_(1935),1935-07-25,2,NA,"{'U-boat School Flotilla': ['1 July 1935 ', ' 1 August 1939'], '21st U-boat Flotilla': ['1 July 1940 ', ' 8 April 1944']}",3180,1,1
U-3,1935,IIA,"Joachim Schepke,Otto von Bülow,Hans-Hartwig Trojer",0,0,0,0,2,2348,0,0,0,0,Stricken,1944-08-01,NA,https://en.wikipedia.org/wiki/German_submarine_U-3_(1935),1935-09-06,5,NA,"{'U-boat School Flotilla': ['1 August 1935 ', ' 1 February 1940'], '21st U-boat Flotilla': ['1 July 1940 ', ' 1 August 1944']}",3252,0,1
U-4,1935,IIA,Heinz-Otto Schultze,1,1090,0,0,3,5133,0,0,0,0,Stricken,1944-08-01,NA,https://en.wikipedia.org/wiki/German_submarine_U-4_(1935),1935-08-17,4,NA,"{'U-boat School Flotilla': ['1 August 1935 ', ' 1 February 1940'], '21st U-boat Flotilla': ['1 July 1940 ', ' 31 July 1944']}",3272,0,1
U-5,1935,IIA,Heinrich Lehmann-Willenbrock,0,0,0,0,0,0,0,0,0,0,Sunk,1943-03-19,Accident,https://en.wikipedia.org/wiki/German_submarine_U-5_(1935),1935-08-31,2,NA,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 September 1939'], '21st U-boat Flotilla': ['1 July 1940 ', ' 19 March 1943']}",2757,1,1
U-6,1935,IIA,Adalbert Schnee,0,0,0,0,0,0,0,0,0,0,Stricken,1944-08-07,Training boat mostly,https://en.wikipedia.org/wiki/German_submarine_U-6_(1935),1935-09-07,2,NA,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 September 1939'], '21st U-boat Flotilla': ['1 July 1940 - 7 August 1944']}",3257,0,1
U-7,1935,IIB,"Karl Schrott,Siegfried Koitschka",0,0,0,0,1,2694,0,0,1,1830,Sunk,1944-02-18,Accident,https://en.wikipedia.org/wiki/German_submarine_U-7_(1935),1935-07-18,6,NA,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 February 1940'], '21st U-boat Flotilla': ['1 July 1940 ', ' 18 February 1944']}",3137,1,1
U-8,1935,IIB,"Otto Schuhart,Heinrich Lehmann-Willenbrock,Eitel-Friedrich Kentrat",0,0,0,0,0,0,0,0,0,0,Scuttled,1945-05-05,NA,https://en.wikipedia.org/wiki/German_submarine_U-8_(1935),1935-08-05,1,NA,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 August 1939'], '1st U-boat Flotilla': ['13 April ', ' 30 June 1940'], '24th U-boat Flotilla': ['1 July ', ' 17 December 1940'], '22nd U-boat Flotilla': ['18 December 1940 ', ' 31 March 1945']}",3561,1,1
U-9,1935,IIB,Wolfgang Lüth,1,552,1,412,7,16669,0,0,0,0,Sunk,1944-08-20,Soviet aircraft. Later raised & entered as Soviet Navy TS-16,https://en.wikipedia.org/wiki/German_submarine_U-9_(1935),1935-08-21,19,NA,"{'1st U-boat Flotilla': ['1 September 1935 ', ' 1 August 1939'], '24th U-boat Flotilla': ['1 July ', ' 31 October 1940'], '21st U-boat Flotilla': ['1 November 1940 ', ' 18 April 1942'], '30th U-boat Flotilla': ['28 October 1942 ', ' 20 August 1944']}",3287,1,1
U-10,1935,IIB,"Herbert Sohler,Georg-Wilhelm Schulz,Rolf Mützelburg,Hans-Rudolf Rösing",0,0,0,0,2,6356,0,0,0,0,Stricken,1944-08-01,NA,https://en.wikipedia.org/wiki/German_submarine_U-10_(1935),1935-09-09,5,NA,"{'U-boat School Flotilla': ['15 April 1939 ', ' 30 June 1940'], '1st U-boat Flotilla': ['27 September 1935 ', ' 3 October 1937'], '3rd U-boat Flotilla': ['4 October 1937 ', ' 14 April 1939'], '21st U-boat Flotilla': ['1 July 1940 ', ' 1 August 1944']}",3249,0,1
U-11,1935,IIB,"Hans-Rudolf Rösing,Viktor Schütze",0,0,0,0,0,0,0,0,0,0,Scuttled,1945-05-03,NA,https://en.wikipedia.org/wiki/German_submarine_U-11_(1935),1935-09-21,0,NA,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 August 1939'], '1st U-boat Flotilla': ['1 July ', ' 30 November 1940'], '21st U-boat Flotilla': ['1 December 1940 ', ' 1 May 1941'], '5th U-boat Flotilla': ['1 October 1941 ', ' 28 February 1943'], '22nd U-boat Flotilla': ['1 March 1943 ', ' 14 December 1944']}",3512,1,1
U-12,1935,IIB,NA,0,0,0,0,0,0,0,0,0,0,Sunk,1939-10-08,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-12_(1935),1935-09-30,2,NA,"{'3rd U-boat Flotilla': ['1 September 1935 ', ' 1 August 1939']}",1469,1,0
U-13,1935,IIB,"Hans-Gerrit von Stockhausen,Wolfgang Lüth",0,0,0,0,9,28056,3,26218,0,0,Sunk,1940-05-31,HMS Weston,https://en.wikipedia.org/wiki/German_submarine_U-13_(1935),1935-11-30,9,NA,"{'1st U-boat Flotilla': ['1 November 1935 ', ' 1 August 1939']}",1644,1,1
U-14,1935,IIB,"Victor Oehrn,Herbert Wohlfarth,Gerhard Bigalk,Hans Heidtmann",0,0,0,0,9,12344,0,0,0,0,Scuttled,1945-05-05,NA,https://en.wikipedia.org/wiki/German_submarine_U-14_(1935),1936-01-18,6,NA,"{'3rd U-boat Flotilla': ['1 January 1936 ', ' 1 August 1939'], 'U-boat Training Flotilla': ['1 November 1939 ', ' 1 April 1940'], '1st U-boat Training Flotilla': ['1 May ', ' 30 June 1940'], '24th U-boat Flotilla': ['1 July ', ' 31 December 1940'], '22nd U-boat Flotilla': ['1 January 1941 ', ' 3 March 1945']}",3395,1,1
U-15,1936,IIB,NA,0,0,0,0,3,4532,0,0,0,0,Sunk,1940-01-30,Rammed by accident,https://en.wikipedia.org/wiki/German_submarine_U-15_(1936),1936-03-07,5,NA,"{'1st U-boat Flotilla': ['1 March 1936 ', ' 1 August 1939']}",1424,1,0
U-16,1936,IIB,NA,1,57,0,0,1,3378,0,0,0,0,Sunk,1939-10-25,Run aground,https://en.wikipedia.org/wiki/German_submarine_U-16_(1936),1936-05-16,3,NA,"{'3rd U-boat Flotilla': ['1 May 1936', ' 1 August 1939']}",1257,1,0
U-17,1935,IIB,NA,0,0,0,0,3,1825,0,0,0,0,Scuttled,1945-05-05,NA,https://en.wikipedia.org/wiki/German_submarine_U-17_(1935),1935-12-03,4,NA,"{'1st U-boat Flotilla': ['1 December 1935 ', ' 1 August 1939'], 'U-boat Training Flotilla': ['1 November 1939 ', ' 30 April 1940'], '22nd U-boat Flotilla': ['1 March 1943 ', ' 6 February 1945']}",3441,1,0
